t_us,dt_us,dt_ms,ax_g,ay_g,az_g,a_mag,a_mag_filt,t_s,jerk_raw,jerk_filt
24253630,10000,10,2,0.905,-1.396,2.602,1.556,24.25363,1.656,0.605
24353630,10000,10,0.055,-0.422,0.844,0.946,2.161,24.35363,1.283,0.46
24453630,10000,10,1.653,0.548,-1.391,2.229,1.701,24.45363,0.676,0.987
24553630,10000,10,1.191,0.622,-0.779,1.553,2.688,24.55363,1.182,1.372
24653630,10000,10,0.134,-0.204,0.28,0.371,1.316,24.65363,2.276,1.075
24753630,10000,10,1.55,0.777,-2,2.647,2.391,24.75363,0.751,0.683
24853630,10000,10,-0.716,-0.554,1.666,1.896,1.708,24.85363,1.032,0.199
24953630,10000,10,1.982,0.801,-2,2.928,1.907,24.95363,1.242,0.203
25053630,10000,10,-1.179,-1,0.672,1.686,1.704,25.05363,0.683,0.079
25153630,10000,10,2,1.268,-0.062,2.369,1.625,25.15363,1.229,0.677
25253630,10000,10,0.93,0.651,-0.098,1.14,2.302,25.25363,0.742,0.636
25353630,10000,10,1.318,0.303,1.308,1.882,1.666,25.35363,0.159,1.027
25453630,10000,10,1.686,0.891,0.728,2.041,2.693,25.45363,1.18,1.122
25553630,10000,10,-0.562,-0.563,0.33,0.861,1.571,25.55363,2.185,0.943
25653630,10000,10,2,1.345,1.863,3.046,2.514,25.65363,1.023,0.679
25753630,10000,10,-1.298,-1.539,0.188,2.023,1.835,25.75363,1.067,0.642
25853630,10000,10,2,1.288,1.972,3.09,2.477,25.85363,0.271,0.522
25953630,10000,10,-2,-1.958,-0.337,2.819,1.955,25.95363,0.298,0.456
26053630,10000,10,2,1.311,2,3.117,2.411,26.05363,0.032,0.356
26153630,10000,10,-2,-2,-1.231,3.085,2.055,26.15363,0.131,0.33
26253630,10000,10,2,1.53,2,3.216,2.385,26.25363,1.448,0.346
26353630,10000,10,-1.015,-1.037,-1.009,1.768,2.039,26.35363,0.98,0.163
26453630,10000,10,1.77,0.648,2,2.748,2.202,26.45363,1.799,0.399
26553630,10000,10,0.518,0.136,0.784,0.949,2.601,26.55363,0.214,0.89
26653630,10000,10,0.121,-0.692,0.216,0.735,1.711,26.65363,2.146,0.745
26753630,10000,10,2,0.55,2,2.881,2.456,26.75363,0.261,0.486
26853630,10000,10,-1.998,-1.118,-1.274,2.62,1.97,26.85363,0.3,0.035
26953630,10000,10,2,0.724,2,2.92,2.005,26.95363,0.736,0.024
27053630,10000,10,-1.799,-1.215,-0.237,2.184,2.029,27.05363,0.196,0.043
27153630,10000,10,2,0.99,0.829,2.38,2.072,27.15363,0.019,0.381
27253630,10000,10,-1.661,-1.67,0.164,2.361,1.691,27.25363,0.089,0.372
27353630,10000,10,2,1.143,0.834,2.45,2.063,27.35363,1.924,0.059
27453630,10000,10,0.339,0.401,0.035,0.526,2.004,27.45363,0.664,0.28
27553630,10000,10,0.797,-0.258,0.845,1.19,1.724,27.55363,1.052,0.707
27653630,10000,10,2,0.984,0.238,2.242,2.431,27.65363,0.542,0.642
27753630,10000,10,-0.566,-1.518,0.515,1.7,1.789,27.75363,0.925,0.529
